url_id,label,isFurniture
0,This page can't be found!,0
0,Explore other iconic designs,0
1,Popup heading,0
1,"Not found, error 404",0
1,Where We Are,0
1,“Like” us on Facebook,0
1,Contact Us,0
2,Item added to your cart,0
2,Collections,0
2,SOFAS,0
2,SOFAS,0
2,DINING TABLES,0
2,DINING TABLES,0
2,OUTDOOR,0
2,OUTDOOR,0
2,BEDROOM,0
2,BEDROOM,0
2,DINING CHAIRS,0
2,DINING CHAIRS,0
2,ACCENT CHAIRS,0
2,ACCENT CHAIRS,0
2,BAR STOOLS,0
2,BAR STOOLS,0
2,SIDEBOARDS & BUFFETS,0
2,SIDEBOARDS & BUFFETS,0
2,COFFEE TABLES,0
2,COFFEE TABLES,0
2,ACCESSORIES,0
2,ACCESSORIES,0
2,ART,0
2,ART,0
2,STORE LOCATION,0
2,STORE HOURS,0
2,QUICK LINKS,0
2,CONTACT US,0
2,Subscribe to our emails,0
3,Currency,0
3,Hasami Porcelain,0
3,Furniture,0
3,Akari Light Sculptures,0
3,Natural blinds,0
3,Bath & body,0
3,Hasami Porcelain,0
3,Furniture,0
3,Akari Light Sculptures,0
3,Natural blinds,0
3,Bath & body,0
3,Currency,0
3,Currency,0
3,Cart0,0
3,Gift Card,1
3,Gift Card,1
3,Gift Card,1
3,Continue shopping,0
3,Secure transactions,0
3,Simple checkout,0
3,Get in touch,0
3,Newsletter,0
3,"Thoughtful, timeless and quality goods for the home.",0
3,CurrencyAva Square Wall Lamp€114.88,0
3,Diffuser No. 1From€165.29,0
3,Fine Bamboo BlindsFrom€132.23,0
3,Hasami Mug Medium Dark Grey€28.10,0
3,Ava Square Wall Lamp€114.88,0
3,Diffuser No. 1From€165.29,0
3,Fine Bamboo BlindsFrom€132.23,0
3,Hasami Mug Medium Dark Grey€28.10,0
4,"Lyon French Victorian Lamp Table Bedside Timber Bedside Table, White WCF168BS-101-PN-WH_1",1
5,SkyHomeDecor.com,0
5,Get this domain,0
6,Item added to your cart,0
6,HANDCRAFTED LUXURY,0
6,MADE IN INDIA,0
6,New Arrivals,0
6,Truman Side Table,1
6,Truman Side Table,1
6,Gibson Storage Cabinet,1
6,Gibson Storage Cabinet,1
6,Rutherford Cabinet,1
6,Rutherford Cabinet,1
6,Harrison Dining Table,1
6,Harrison Dining Table,1
6,Napoli Sideboard,1
6,Napoli Sideboard,1
6,Tughluq Bed Side,1
6,Tughluq Bed Side,1
6,Stonehill Drinks Cart,1
6,Stonehill Drinks Cart,1
6,Cobbler Arm Chair,1
6,Cobbler Arm Chair,1
6,SPECIAL PIECES OF FURNITURE DESIGNED AND BUILT FROM SCRATCH.,0
6,Shop Bestsellers,0
6,Alvis Poster Bed,1
6,Alvis Poster Bed,1
6,Meraki Coffee Table,1
6,Meraki Coffee Table,1
6,Book Coffee Table,1
6,Book Coffee Table,1
6,Carved Wooden Coffee Table,1
6,Carved Wooden Coffee Table,1
6,Ashford Mid-Century Chair,1
