,url_id,label,isFurniture,label_len
0,0,this page can't be found!,0,25
1,0,explore other iconic designs,0,28
2,1,popup heading,0,13
3,1,"not found, error 404",0,20
4,1,where we are,0,12
5,1,“like” us on facebook,0,21
6,2,sofas,0,5
7,2,dining tables,0,13
8,2,outdoor,0,7
9,2,bedroom,0,7
10,2,dining chairs,0,13
11,2,accent chairs,0,13
12,2,bar stools,0,10
13,2,sideboards & buffets,0,20
14,2,coffee tables,0,13
15,2,art,0,3
16,2,store location,0,14
17,2,store hours,0,11
18,2,quick links,0,11
19,2,subscribe to our emails,0,23
20,3,hasami porcelain,0,16
21,3,furniture,0,9
22,3,akari light sculptures,0,22
23,3,natural blinds,0,14
24,3,bath & body,0,11
25,3,currency,0,8
26,3,cart0,0,5
27,3,continue shopping,0,17
28,3,secure transactions,0,19
29,3,simple checkout,0,15
30,3,get in touch,0,12
31,3,newsletter,0,10
32,3,"thoughtful, timeless and quality goods for the home.",0,52
33,3,currencyava square wall lamp€114.88,0,35
34,3,ava square wall lamp€114.88,0,27
35,3,diffuser no. 1from€165.29,0,25
36,3,fine bamboo blindsfrom€132.23,0,29
37,3,hasami mug medium dark grey€28.10,0,33
38,4,"lyon french victorian lamp table bedside timber bedside table, white wcf168bs-101-pn-wh_1",1,89
39,5,skyhomedecor.com,0,16
40,5,get this domain,0,15
41,6,item added to your cart,0,23
42,6,handcrafted luxury,0,18
43,6,made in india,0,13
44,6,new arrivals,0,12
45,6,truman side table,1,17
46,6,gibson storage cabinet,1,22
47,6,rutherford cabinet,1,18
48,6,harrison dining table,1,21
49,6,napoli sideboard,1,16
50,6,tughluq bed side,1,16
51,6,stonehill drinks cart,1,21
52,6,cobbler arm chair,1,17
53,6,special pieces of furniture designed and built from scratch.,0,60
54,6,shop bestsellers,0,16
55,6,alvis poster bed,1,16
56,6,meraki coffee table,1,19
57,6,book coffee table,1,17
58,6,carved wooden coffee table,1,26
59,6,ashford mid-century chair,1,25
60,6,rewa nesting table,1,18
61,6,apollo carved mango wood sideboard,1,34
62,6,rattan webbed side table,1,24
63,6,sofa collection,0,15
64,6,eva sofa,1,8
65,6,coventry corner sofa,1,20
66,6,bayford sofa,1,12
67,6,kantha sofa,1,11
68,6,bristol sofa,1,12
69,6,coventry armchair,1,17
70,6,kantha three seater sofa,1,24
71,6,caesar sofa,1,11
72,6,made to order,0,13
73,6,marwari antique collection,0,26
74,6,golden antique door,1,19
75,6,rajasthani door,1,15
76,6,antique brass door,1,18
77,6,vintage marwari door,1,20
78,6,best seller,0,11
79,6,pinterest projects,0,18
80,6,havana sofa,1,11
81,6,antique collection,0,18
82,6,console table,1,13
83,6,bench,1,5
84,6,chair,1,5
85,6,shoe rack,1,9
86,6,mirror,1,6
87,6,cabinets,0,8
88,6,romulus storage cabinet,1,23
89,6,greta cabinet,1,13
90,6,apollo bar cabinet,1,18
91,6,pandora cabinet,1,15
92,6,damage covered,0,14
93,6,100% genuine products,0,21
94,6,free delivery,0,13
95,6,collapsible content,0,19
96,6,how solid are we?,0,17
97,6,let’s just say we are 100% solid wood! nothing but only the finest material for you.,0,84
98,6,"quality, always",0,15
99,6,quality is never an accident.,0,29
100,6,slow & steady commerce,0,22
101,6,transparency in our process,0,27
102,6,connect with us,0,15
103,6,information,0,11
104,6,for inboxes with impeccable taste.,0,34
105,7,oem and resourcing,0,18
106,7,order the catalogue,0,19
107,8,"get inspiration ideas, design tips, and alerts",0,46
108,8,shop by category,0,16
109,8,connect,0,7
110,8,locations,0,9
111,9,highlight promotions,0,20
112,9,optional search filters,0,23
113,9,all about us,0,12
114,9,home,0,4
115,9,catalog,0,7
116,9,sale!,0,5
117,9,area experts,0,12
118,9,care guide,0,10
119,9,love your space,0,15
120,9,bar & balcony group,0,19
121,9,small spaces,0,12
122,9,dining group,0,12
123,9,poolside,0,8
124,9,complete sets,0,13
125,9,space,0,5
126,9,conversation groups,0,19
127,9,bar & balcony,0,13
128,9,dining,0,6
129,9,front porch,0,11
130,9,seating,0,7
131,9,item,0,4
132,9,adirondack,0,10
133,9,benches & swings,0,16
134,9,chaises,0,7
135,9,deep seating,0,12
136,9,grills,0,6
137,9,fire tables,0,11
138,9,porch rockers,0,13
139,9,protective covers,0,17
140,9,outdoor rugs,0,12
141,9,sectionals,0,10
142,9,throw pillows,0,13
143,9,umbrellas,0,9
144,9,vendor,0,6
145,9,bernhardt,0,9
146,9,ebel,0,4
147,9,elaine smith,0,12
148,9,fire magic grills,0,17
149,9,gensun,0,6
150,9,jensen outdoor,0,14
151,9,lloyd flanders,0,14
152,9,ow lee,0,6
153,9,polywood,0,8
154,9,royal teak,0,10
155,9,seaside casual,0,14
156,9,shademaker,0,10
157,9,summerset,0,9
158,9,tec,0,3
159,9,telescope,0,9
160,9,treasure garden,0,15
161,9,tropitone,0,9
162,9,winston,0,7
163,9,refine your search,0,18
164,9,limit search to,0,15
165,9,product vendor,0,14
166,9,americanbackyard,0,16
167,9,social sharing,0,14
168,10,after-sales,0,11
169,10,trending now,0,12
170,10,popular products,0,16
171,10,example product title,0,21
172,10,oops!page not found,0,19
173,10,shop by,0,7
174,10,shop the look,0,13
175,12,confirm your age,0,16
176,12,come back when you're older,0,27
177,12,how quickly will i get my order? (production or lead time),0,58
178,13,ошибка: страница не найдена,0,27
179,14,404 not found,0,13
180,14,announcement,0,12
181,14,sectional add-ons & expansions,0,30
182,14,bed add-ons & expansions,0,24
183,14,categories,0,10
184,14,storage add-ons & expansions,0,28
185,14,featured products,0,17
186,14,"sorry, we couldn't find that page.",0,34
187,14,footer,0,6
188,14,we care,0,7
189,14,social,0,6
190,14,join our newsletter,0,19
191,14,footer legal,0,12
192,14,privacy preference center,0,25
193,14,manage consent preferences,0,26
194,14,functional cookies,0,18
195,14,strictly necessary cookies,0,26
196,14,targeting cookies,0,17
197,14,performance cookies,0,19
198,17,the corcovado 3 seater kea sofa,1,31
199,17,ask a question,0,14
200,17,request a price,0,15
201,17,corcovado customers also like,0,29
202,17,"corcovado customers also likekea 2 seater sofa$3,900.00",0,55
203,17,corcovado footstool$895.00,1,26
204,17,"drift sofa 2 seater (no feathers)from$3,980.00",1,46
205,17,"drift sofa 3 seater (no feathers)$5,295.00",1,42
206,17,"sunset 4 seater sofa$6,449.00",1,29
207,17,"kea oak arm chairfrom$2,450.00",1,30
208,17,"hinter corner chaise sofa$8,495.00",1,34
209,17,"sunset 4 seater sofa, with ottoman$7,999.00",1,43
210,18,error1000,0,9
211,18,dns points to prohibited ip,0,27
212,18,what happened?,0,14
213,18,what can i do?,0,14
214,19,stay connected,0,14
215,20,people also bought,0,18
216,20,your cart is empty,0,18
217,20,subtotal,0,8
218,20,shipping,0,8
219,20,total,0,5
220,20,corona solid pine coffee table,1,30
221,20,buyers notes,0,12
222,20,what you need to know,0,21
223,20,why we love,0,11
224,20,dimensions & details,0,20
225,20,delivery & returns,0,18
226,20,reviews,0,7
227,20,quick add,0,9
228,20,charlie double bed frame and mattress set - black,1,49
229,20,join the lj family,0,18
230,20,head office,0,11
231,20,warehouse address,0,17
232,20,registered company,0,18
233,20,by room+,0,8
234,20,by product+,0,11
235,20,policies+,0,9
236,20,about+,0,6
237,20,we use cookiesproduct type,0,26
238,20,product type,0,12
239,20,view full details,0,17
240,21,410,0,3
241,21,page no longer available,0,24
242,23,page not found!,0,15
243,25,"we're sorry, we looked everywhere",0,33
244,25,join email family,0,17
245,25,never miss a sale,0,17
246,26,field to studio,0,15
247,26,$25 off and not too many emailsexample product$29,0,49
248,26,example product$29,0,18
249,27,mid century record storage console,1,34
250,27,mid century desk with cord management,1,37
251,27,walnut mid century desk with cord management available now!,1,59
252,27,open mid century modern desk,1,28
253,27,mid century desk with cord management with wood drawers,1,55
254,27,elsewhere,0,9
255,29,your wishlist,0,13
256,29,cart (0),0,8
257,29,select options,0,14
258,29,international customer,0,22
259,29,$100 off your order,0,19
260,30,meta44.com,0,10
261,30,"since 2005, we've helped thousands of people get the perfect domain name",0,72
262,30,our promise to you,0,18
263,30,30-day money back guarantee,0,27
264,30,quick delivery of the domain,0,28
265,30,safe and secure shopping,0,24
266,30,faqs,0,4
267,30,other domains you might like,0,28
268,30,quick stats,0,11
269,30,shop,0,4
270,30,safe and secure,0,15
271,30,helpful tips,0,12
272,31,just added to your cart,0,23
273,34,black mango gift card,1,21
274,34,recommended for you,0,19
275,34,company,0,7
276,34,customer care,0,13
277,34,popular links,0,13
278,34,trade,0,5
279,35,estimated total,0,15
280,35,country/region,0,14
